date,kind,fund_code,fund_name,price,shares_outstanding,investor_count,portfolio_size,exchange_bulletin_price,gunluk_getiri_%
2026-09-18,YAT,BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,50.72715,172693874.0,1098,8760268066.96,,0.03316089379337139
2026-09-18,YAT,CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,0.0,0.0,410,0.0,,-100.0
2026-09-18,YAT,DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,4.906812,27252847812.0,21873,133724604544.67,,0.09922585878103796
2026-09-18,YAT,GJH,GARANTİ PORTFÖY PARA PİYASASI SERBEST (TL) FON,4.045783,35321921723.0,23339,142904821193.31,,0.09757934445187022
2026-09-18,YAT,GTL,GARANTİ PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,0.138419,1226098209923.0,350115,169715615087.86,,0.097625177171623
2026-09-18,YAT,HKV,ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,606.864974,7420802.0,37676,4503424813.95,,0.055171683488786094
2026-09-18,YAT,HLL,ZİRAAT PORTFÖY HALKBANK PARA PİYASASI (TL) FONU,0.39296,131950099758.95,1031935,51851101793.32,,0.08379368924000818
2026-09-18,YAT,HPV,ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,7.99645,1185924162.001,339290,9483182784.34,,0.1030517694935229
2026-09-18,YAT,ILH,İŞ PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,4.118634,42892559872.47,11367,176658762350.82,,0.10071722133242478
2026-09-18,YAT,IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,4.736108,6143255007.0,9019,29095116200.75,,0.08710930252118221
2026-09-18,YAT,TI1,İŞ PORTFÖY PARA PİYASASI (TL) FONU,1714.028004,118815688.65,233245,203653417660.19,,0.08843258320103686
2026-09-18,YAT,TZL,ZİRAAT PORTFÖY PARA PİYASASI (TL) FONU,0.14204,666500684432.17,185618,94669568990.9,,0.08878616626970537
2026-09-18,YAT,VK6,V PORTFÖY VAKIFBANK PARA PİYASASI (TL) FONU,4.273001,19045738056.988,161950,81382464845.48,,0.08926751913125308
2026-09-18,YAT,YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,58.966689,1363223211.0,9302,80384758649.52,,0.030097229726600006
2026-09-18,YAT,YLB,YAPI KREDİ PORTFÖY PARA PİYASASI FONU,1.8701,50670355466.0,359694,94758607527.58,,0.09162978995798099
2026-09-18,YAT,YP4,YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON,55.472501,2460400394.0,29350,136484564095.57,,0.029286143710383072
2026-09-18,YAT,YPT,YAPI KREDİ PORTFÖY PARA PİYASASI SERBEST (TL) FON,4.260194,30311464844.0,19305,129132720574.45,,0.09941345824668879
2026-09-18,YAT,YVD,YAPI KREDİ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,4.537399,9568202401.0,82167,43414752146.68,,0.08982365490068922
2026-09-18,YAT,ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,4.196377,13300563950.0,4229,55814178166.02,,0.09978068763039083
